article,noun,plural,english
der,Fotograf,Fotografen,Photographer
die,Form,Formen,Form/Shape
die,Groll,Groll,Resentment
der,Rabbi,Rabbiner,Rabbi
die,Unterbrechung,Unterbrechungen,Interrupt
der,Friseur,Friseure,Barber
der,Journalist,Journalisten,Journalist
das,Schießen,kein Pl.,Shooting
das,Stipendium,Stipendien,Grant
die,Morgendämmerung,Morgendämmerungen,Dawn
die,Polizei,kein Pl.,Police
das,Haus,Häuser,House
die,Schublade,Schubladen,Drawer
die,Aussicht,Aussichten,Prospect/View
die,Steppdecke,Steppdecken,Quilt
der,Mitbewohner,Mitbewohner,Roommate
der,Horror,kein Pl.,Horror
das,Paradies,Paradiese,Paradise
der,Sonnenuntergang,Sonnenuntergänge,Sunset
die,Natur,kein Pl.,Nature
der,Kamerad,Kameraden,Comrade/Mate
der,Körper,Körper,Body
die,Kartoffel,Kartoffeln,Potato
die,Linke,kein Pl.,Left
der,Wissenschaftler,Wissenschaftler,Scientist
der,Seehund,Seehunde,Seal
der,Arbeitgeber,Arbeitgeber,Employer
das,Logo,Logos,Logo
die,Frau,Frauen,Female/Woman
die,Barriere,Barrieren,Barrier
das,Glas,Gläser,Glass/Jar
der,Reservat,Reservate,Reserve
der,Einzelgänger,Einzelgänger,Maverick
das,Klassenzimmer,Klassenzimmer,Classroom
das,Anschwellen,Anschwellen,Swell
der,Politiker,Politiker,Politician
das,Zittern,Zittern,Shiver
die,Einführung,Einführungen,Introduction
der,Helm,Helme,Helmet
der,Schlafanzug,Schlafanzüge,Pajamas
der,Nutzen,Nutzen,Benefit
der,Gewinn,Gewinne,Profit
die,Gewissheit,Gewissheiten,Certainty
der,Tierarzt,Tierärzte,Vet
die,Fantasie,kein Pl.,Fantasy/Imagination
der,Slip,Slips,Panties
der,Kühlschrank,Kühlschränke,Fridge
die,Erinnerung,Erinnerungen,Memory/Reminder
die,Belastung,Belastungen,Burden
das,Gespräch,Gespräche,Conversation/Talk
der,Selbstmord,Selbstmorde,Suicide
der,Gemüt,kein Pl.,Temper
der,Freund,Freunde,Boyfriend/Friend
das,Leiden,kein Pl.,Suffering
die,Miete,Mieten,Rent
das,Kamel,Kamele,Camel
die,Erschöpfung,kein Pl.,Exhaustion
der,Horizont,Horizonte,Horizon
der,Koch,Köche,Cook/Chef
die,Rücksitzbank,Rücksitzbänke,Backseat
die,Zahlung,Zahlungen,Payment
das,Lied,Lieder,Carol/Song
die,Nummer,Nummern,Number
der,Dekan,Dekane,Dean
die,Erwähnung,Erwähnungen,Mention
die,Rüstung,Rüstungen,Armor
die,Klaue,Klauen,Claw
der,Typ,Typen,Dude
der,Elternteil,Elternteile,Parent
der,Richter,Richter,Judge
das,Heck,kein Pl.,Rear
die,Vase,Vasen,Vase
der,Sinn,Sinne,Sense
der,Mönch,Mönche,Monk
das,Rindvieh,kein Pl.,Cattle
der,Hintern,Hintern,Ass/Butt
die,Intimität,kein Pl.,Intimacy
der,Attentäter,Attentäter,Assassin
die,Wirtschaft,Wirtschaften,Economy
der,Zwerg,Zwerge,Dwarf
das,Alien,Aliens,Alien
die,Untersuchung,Untersuchungen,Investigation
die,Veränderung,Veränderungen,Change
die,Substanz,Substanzen,Substance
der,Unterschied,Unterschiede,Difference
die,Windel,Windeln,Diaper
die,Tante,Tanten,Aunt
die,Route,Routen,Route
der,Marmor,Marmore,Marble
der,Zirkus,Zirkusse,Circus
das,T-Shirt,T-Shirts,TShirt
die,Ursache,Ursachen,Cause
das,Stereo,Stereos,Stereo
der,Halter,Halter,Holder
der,Eindringling,Eindringlinge,Intruder
die,Schwangerschaft,Schwangerschaften,Pregnancy
der,Elf,Elfen,Elf
das,Hemd,Hemden,Shirt
der,Baumstamm,Baumstämme,Log
der,Schoß,Schoß,Lap
die,Libelle,Libellen,Dragonfly
der,Osten,kein Pl.,East
die,Figur,Figuren,Figure
das,Messing,kein Pl.,Brass
der,Unsinn,kein Pl.,Nonsense
das,Kabel,Kabel,Cable/Cord
der,Atem,Atemzüge,Breath
der,Kampf,Kämpfe,Fight/Struggle
der,Dieb,Diebe,Thief
die,Nonne,Nonnen,Nun
der,Kommandant,Kommandanten,Commander
die,Bühne,Bühnen,Stage
das,Haar,Haare,Hair
die,Flöte,Flöten,Flute
die,Lösung,Lösungen,Solution
das,Radio,Radios,Radio
der,Kratzer,Kratzer,Scratch
die,Schokolade,kein Pl.,Chocolate
das,Schluchzen,kein Pl.,Sob
die,Verbindung,Verbindungen,Connection
der,Rotkehlchen,Rotkehlchen,Robin
die,Reise,Reisen,Journey/Trip
die,Wartung,kein Pl.,Maintenance
der,Abschied,kein Pl.,Farewell/Goodbye
der,Raum,Räume,Space
die,Klasse,Klassen,Class
die,Zeugenaussage,Zeugenaussagen,Testimony
die,Spannung,Spannungen,Tension
der,Ballon,Ballons,Balloon
die,Wartezeit,Wartezeiten,Wait
die,Schicht,Schichten,Layer/Shift
die,Marmelade,Marmeladen,Jam/Jelly
der,Satz,Sätze,Sentence
der,Ozean,Ozeane,Ocean
das,Küken,Küken,Chick
der,Frühling,Frühlinge,Spring
die,Metapher,Metaphern,Metaphor
die,Fahrt,Fahrten,Drive/Ride
der,Bär,Bären,Bear
der,Käfig,Käfige,Cage
der,Korridor,Korridore,Corridor
das,Urheberrecht,kein Pl.,Copyright
das,Echo,Echos,Echo
die,Industrie,Industrien,Industry
das,Feuerzeug,Feuerzeuge,Lighter
der,Verrat,Verrat,Betrayal
der,Flughafen,Flughäfen,Airport
die,Aufwärtsbewegung,kein Pl.,Up
das,Objekt,Objekte,Object
die,Galerie,Galerien,Gallery
das,Aufeinandertreffen,Aufeinandertreffen,Encounter
der,Autor,Autoren,Author
das,Häschen,Häschen,Bunny
das,Bild,Bilder,Image/Picture
die,Eile,kein Pl.,Hurry
das,Speiselokal,Speiselokale,Diner
die,Entschuldigung,Entschuldigungen,Apology/Excuse
der,Salon,Salons,Parlor/Salon
das,Quellwasser,kein Pl.,Spring water
der,Knopf,Knöpfe,Button/Knob
das,Erstaunen,kein Pl.,Amazement/Astonishment
der,Sohn,Söhne,Son
die,Sünde,Sünden,Sin
die,Geschwindigkeit,Geschwindigkeiten,Speed
die,Kabine,Kabinen,Cabin
der,Auslöser,Auslöser,Trigger
die,Briefmarke,Briefmarken,Stamp
der,Angestellte,Angestellten,Clerk
die,Crest,Crests,Crest
die,Neugierde,kein Pl.,Curiosity
die,Kreuzung,Kreuzungen,Intersection
der,Umfang,Umfänge,Extent/Perimeter
die,Gesellschaft,Gesellschaften,Society
die,Zeitlupe,Zeitlupen,Slow motion
der,Faden,Fäden,Thread
der,Ohrring,Ohrringe,Earring
das,Pulver,Pulver,Powder
das,Geländer,Geländer,Railing
das,Make-up,kein Pl.,Makeup
der,Admiral,Admirale,Admiral
die,Art,Arten,Manner/Sort
das,Atmen,kein Pl.,Breathing
die,Politik,kein Pl.,Policy/Politics
das,Herrenhaus,Herrenhäuser,Manor
die,Glühbirne,Glühbirnen,Bulb
der,Rat,Ratschläge,Advice/Council
das,Kalb,Kälber,Calf
das,Nasenloch,Nasenlöcher,Nostril
die,Unannehmlichkeit,Unannehmlichkeiten,Discomfort
das,Finish,Finish,Finish
die,Spitze,Spitzen,Peak/Top
die,Blume,Blumen,Flower
der,Faktor,Faktoren,Factor
die,Oper,Opern,Opera
die,Landschaft,Landschaften,Countryside/Landscape
die,Erleichterung,kein Pl.,Relief
die,Einkauf,Einkäufe,Shopping
die,Flasche,Flaschen,Bottle
der,Test,Tests,Test
der,Kollege,Kollegen,Colleague
die,Uniform,Uniformen,Uniform
das,Notizbuch,Notizbücher,Notebook
der,Stahl,kein Pl.,Steel
die,Seide,kein Pl.,Silk
der,Sauerstoff,kein Pl.,Oxygen
der,Karton,Kartons,Carton
das,Zwilling,Zwillinge,Twin
das,System,Systeme,System
die,Enttäuschung,Enttäuschungen,Disappointment
der,Rebell,Rebellen,Rebel
der,Frost,kein Pl.,Frost
der,Spaziergänger,Spaziergänger,Walker
das,Mehl,kein Pl.,Flour
die,Falte,Falten,Fold/Wrinkle
das,Flackern,Flackern,Flicker
das,Gefängnis,Gefängnisse,Jail/Prison
der,Wächter,Wächter,Guard/Guardian
der,Whisky,kein Pl.,Scotch/Whiskey
die,Jalousie,Jalousien,Blind
der,Ansager,Ansager,Announcer
die,Platte,Platten,Slab
der,Cluster,Cluster,Cluster
der,Laptop,Laptops,Laptop
der,Fall,Fälle,Case
der,Bischof,Bischöfe,Bishop
die,Hexe,Hexen,Witch
der,Durchgang,Durchgänge,Doorway/Passage
der,Augenblick,Augenblicke,Instant
die,Verteidigung,kein Pl.,Defense
der,Besen,Besen,Broom
das,Gift,Gifte,Poison
die,Chance,Chancen,Chance
der,Zyklus,Zyklen,Cycle
die,Couch,Couches,Couch
die,Marine,Marinen,Marine/Navy
die,Verzeihung,kein Pl.,Pardon
der,Tipp,Tipps,Tip
die,Taille,Taillen,Waist
der,Ohrwurm,Ohrwürmer,Earworm
der,Zusammenstoß,Zusammenstöße,Crash
die,Formation,Formationen,Formation
der,Büffel,Büffel,Buffalo
die,Botschaft,Botschaften,Embassy
die,Regel,Regeln,Rule
die,Party,Partys,Party
der,Rücktritt,Rücktritte,Resignation
das,Video,Videos,Video
das,Ganze,kein Pl.,Whole
der,Begleiter,Begleiter,Companion/Escort
der,Stall,Ställe,Stall
das,Schutz,Schutz,Protection/Shelter
die,Überweisung,Überweisungen,Transfer
der,Schwan,Schwäne,Swan
der,Sheriff,Sheriffs,Sheriff
das,Essen,kein Pl.,Food
die,Wolke,Wolken,Cloud
die,Qual,kein Pl.,Agony
das,Fernsehen,Fernseher,Television
der,Angriff,Angriffe,Assault/Attack
der,Klick,Klicks,Click
die,Frage,Fragen,Question
die,Hauptstadt,Hauptstädte,Capital
der,Graben,Gräben,Ditch/Trench
die,Terrasse,Terrassen,Patio/Terrace
die,Theorie,Theorien,Theory
die,Lieferung,Lieferungen,Delivery
die,Stimme,Stimmen,Voice/Vote
die,Stadt,Städte,City/Town
der,Hamburger,Hamburger,Hamburger
die,Produktion,Produktionen,Production
der,Freiwillige,Freiwilligen,Volunteer
das,Bargeld,kein Pl.,Cash
die,Rettung,Rettungen,Rescue/Salvation
das,Lächeln,Lächeln,Smile
die,Software,kein Pl.,Software
der,Bart,Bärte,Beard
die,Grube,Gruben,Pit
die,Prüfung,Prüfungen,Exam
die,Vision,Visionen,Vision
der,Kiesel,Kiesel,Pebble
das,Glied,Glieder,Limb
die,Menschenmenge,Menschenmengen,Crowd
die,Leute,Leute,People
das,Wachs,kein Pl.,Wax
der,Diakon,Diakone,Deacon
die,Hand,Hände,Hand
das,Schild,Schilder,Shield/Sign
der,Berater,Berater,Counselor
der,Pfarrer,Pfarrer,Reverend
der,Eidechse,Eidechsen,Lizard
